datetime	open	high	low	close	volume
18.11.2024 00:00	6546	6712	6360	6470	2143
19.11.2024 00:00	6470	6513	6234	6271	2152
20.11.2024 00:00	6328	6353	6060	6139	1803
21.11.2024 00:00	6188	6287	6031	6271	1989
22.11.2024 00:00	6253	6280	6129	6209	724
25.11.2024 00:00	6151	6180	5968	6050	871
26.11.2024 00:00	6017	6116	5900	5930	1635
27.11.2024 00:00	5935	6049	5706	5969	1767
28.11.2024 00:00	6000	6000	5749	5840	1718
29.11.2024 00:00	5801	5833	5525	5550	1537
02.12.2024 00:00	5565	5625	5331	5377	2010
03.12.2024 00:00	5355	5355	5150	5159	2278
04.12.2024 00:00	5184	5338	5009	5126	2794
05.12.2024 00:00	5200	5355	5095	5317	2709
06.12.2024 00:00	5320	5428	5266	5380	1608
09.12.2024 00:00	5450	5474	5387	5410	1102
10.12.2024 00:00	5407	5407	5249	5294	1129
11.12.2024 00:00	5264	5339	5225	5277	1292
12.12.2024 00:00	5288	5331	5105	5147	1816
13.12.2024 00:00	5115	5170	5060	5111	3552
16.12.2024 00:00	5108	5174	4999	5083	6101
17.12.2024 00:00	5099	5174	4958	5069	8863
18.12.2024 00:00	5080	5256	5043	5249	8316
19.12.2024 00:00	5257	5386	5204	5336	13401
20.12.2024 00:00	5330	5839	5277	5807	33872
23.12.2024 00:00	5895	5993	5723	5881	34185
24.12.2024 00:00	5900	5959	5654	5668	21474
25.12.2024 00:00	5655	5906	5583	5806	28776
26.12.2024 00:00	5802	5895	5751	5798	13123
27.12.2024 00:00	5795	5862	5761	5853	9404
28.12.2024 00:00	5853	6149	5819	6138	15071
30.12.2024 00:00	6146	6278	6085	6171	16804
03.01.2025 00:00	6151	6219	6050	6080	10092
06.01.2025 00:00	6060	6164	5923	6159	5386
08.01.2025 00:00	6168	6263	6140	6223	5610
09.01.2025 00:00	6224	6327	6071	6090	12614
10.01.2025 00:00	6100	6378	6066	6323	16627
13.01.2025 00:00	6325	6468	6239	6284	11536
14.01.2025 00:00	6303	6440	6246	6391	16402
15.01.2025 00:00	6387	6485	6290	6459	15010
16.01.2025 00:00	6458	6578	6259	6358	18440
17.01.2025 00:00	6361	6415	6305	6415	8520
20.01.2025 00:00	6461	6502	6310	6368	16433
21.01.2025 00:00	6368	6399	6224	6380	13811
22.01.2025 00:00	6388	6460	6238	6243	14137
23.01.2025 00:00	6239	6310	6133	6303	27119
24.01.2025 00:00	6304	6432	6268	6380	15607
27.01.2025 00:00	6350	6412	6188	6218	9683
28.01.2025 00:00	6217	6375	6056	6300	17743
29.01.2025 00:00	6310	6468	6204	6403	13373
30.01.2025 00:00	6383	6650	6364	6642	29867
31.01.2025 00:00	6678	6764	6470	6552	48353
03.02.2025 00:00	6524	6610	6434	6568	17719
04.02.2025 00:00	6545	6589	6406	6436	11210
05.02.2025 00:00	6455	6653	6291	6638	25641
06.02.2025 00:00	6611	6696	6519	6616	16741
07.02.2025 00:00	6609	6625	6517	6574	6133
